Tweet Id,Tweet Date,Follower Count,Account Verified,Favorite Count,Retweets,Tweet Text
1521585854325694464,2022-05-03 20:21:52,10935,False,3,0,"b'@beicinNFT @thguedes Testei v\xc3\xa1rios. Hoje (amanh\xc3\xa3 pode mudar, mas hoje n\xc3\xa3o tem d\xc3\xbavida) eu s\xc3\xb3 recomendo o @BTGPactual. Tudo gratuito. Qualidade de Ita\xc3\xba. Praticidade de fintech.'"
1521579685532086274,2022-05-03 19:57:21,20,False,0,0,b'Que Brasil querem a @globo @folha @estadao @VEJA @itau @Bradesco @bancosafra @BTGPactual aos Brasileiros as #Crian\xc3\xa7as a Sociedade?!\nO Brasil da #Corrup\xc3\xa7\xc3\xa3o do Passado?!\n\xf0\x9f\x98\xb7\xf0\x9f\x91\x8e\n#Pol\xc3\xadtica #Elei\xc3\xa7\xc3\xa3o\n@CNBBNacional @arquidioceseSP @cirogomes @marciofrancasp @tvcultura @VillaMarcovilla'
1521576465799782404,2022-05-03 19:44:33,147,False,0,0,"b'@o_antagonista Ha! Conversar com gangster tipo @LulaOficial ok? E com a besta fera @jairbolsonaro seria o mesmo, @Guilhermebench1 @xpinvestimentos ? Com Andr\xc3\xa9 Esteves tinha muita conversa tambem\xe2\x80\xa6 @BTGPactual'"
1521573565602095106,2022-05-03 19:33:02,310,False,0,2,"b'RT @BTGPactual: Pfizer #PFIZ34 #PFE, integrante da carteira de BDRs do BTG Pactual, +2,3% em NY.\n\nA empresa divulgou resultados do 1T22 sem\xe2\x80\xa6'"
1521572012258471936,2022-05-03 19:26:51,829,False,0,2,"b'RT @BTGPactual: Pfizer #PFIZ34 #PFE, integrante da carteira de BDRs do BTG Pactual, +2,3% em NY.\n\nA empresa divulgou resultados do 1T22 sem\xe2\x80\xa6'"
1521571001066307589,2022-05-03 19:22:50,20,False,0,0,b'\xc3\x89 a Governan\xc3\xa7a do Maior Horror da #Hist\xc3\xb3ria que a @globo @folha @Estadao @VEJA os #Bancos @itau @Bradesco @bancosafra @BTGPactual s\xc3\xa3o Respons\xc3\xa1vel Solid\xc3\xa1rio sempre apoiaram assistiram os Brasileiros degradando a /a #Desigualdade Sist\xc3\xaamica em S\xc3\xa3o Paulo no Brasil \n@CNBBNacional'
1521547336752803842,2022-05-03 17:48:48,20,False,0,0,b'\xc3\x89 o Brasil-Real que Lula Alckmin Haddad Gleisi @globo @folha @Estadao @VEJA @itau @Bradesco @bancosafra @BTGPactual fazem de despercebidos para a Burguesia o Mais #Rico Faturar Lucrar Enriquecer sobre os Brasileiros Mais #Pobre no Brasil\n @CNBBNacional @cirogomes @marciofrancasp'
1521543560499191809,2022-05-03 17:33:48,20,False,1,1,b'Qual a Pol\xc3\xadtica Social Econ\xc3\xb4mica tem os #Bancos Brasileiro @itau @Bradesco @bancosafra @BTGPactual para/com os Brasileiros as #Crian\xc3\xa7as em S\xc3\xa3o Paulo no Brasil?! \n\xe2\x9a\xa0\xef\xb8\x8f#Brasil\xf0\x9f\x87\xa7\xf0\x9f\x87\xb7\xf0\x9f\xa9\xb8 MAIS DE 140 MILH\xc3\x95ES #Desigualdade #Mis\xc3\xa9ria #Pobreza #Desemprego #Fome\n @cirogomes @marciofrancasp'
1521541421710381059,2022-05-03 17:25:18,4,False,0,0,b'@BTGPactual s\xc3\xb3 me v\xc3\xaa com bons olhos quando a conta vai bem. Safadeza. Nem pra parcelar cart\xc3\xa3o serve. 3x no m\xc3\xa1ximo o operador e o app falam. Cacete hein? O que fazer...'
1521519520480911360,2022-05-03 15:58:16,310,False,0,1,"b'RT @BTGPactual: Investidor estrangeiro saca R$ 1,7 bi l\xc3\xadquidos da B3 em 27/4 e encerra abril com -R$ 7,7 bi. No ano, fluxo \xc3\xa9 positivo R$ 57\xe2\x80\xa6'"
1521511324479590405,2022-05-03 15:25:42,24,False,0,0,b'@BTGPactual faz uma semana que o app n\xc3\xa3o abre e pede para eu voltar daqui a pouco. Aconteceu alguma coisa? \xf0\x9f\x86\x98'
1521503635573719040,2022-05-03 14:55:09,1053,False,0,2,b'RT @BTGPactual: Amanh\xc3\xa3 (4) tem decis\xc3\xa3o do Copom e o time Macro &amp; Estrat\xc3\xa9gia do BTG Pactual estima que o BC deve indicar uma eleva\xc3\xa7\xc3\xa3o de 100\xe2\x80\xa6'
1521502723983749125,2022-05-03 14:51:32,723,False,0,6,"b'RT @BTGPactual: Brasil: Produ\xc3\xa7\xc3\xa3o industrial +0,3% m/m em mar\xc3\xa7o, ante expectativa de 0,2% e 0,7% anterior. Na compara\xc3\xa7\xc3\xa3o a/a, -2,1% vs -2,9%\xe2\x80\xa6'"
1521500371092492294,2022-05-03 14:42:11,11,False,0,0,b'@BTGPactual e mesmo insistindo em ligar o time de assessoria e atendimento se confundem e n\xc3\xa3o conseguem resolver. E a URA do SAC continua caindo!!! Pensando seriamente em mudar de banco de investimento.'
1521496636777717760,2022-05-03 14:27:20,302,False,0,0,"b'@BTGPactual al\xc3\xb4 BTG n\xc3\xa3o estou conseguindo atendimento, o que est\xc3\xa1 acontecendo?'"
1521488716845535234,2022-05-03 13:55:52,113,False,0,0,"b'@BTGPactual Tranquilo, unico problema dessa hist\xc3\xb3ria toda, \xc3\xa9 que eu fiquei sem meu jogo por um problema de uma chave de produto que voc\xc3\xaas me enviaram por e-mail que nunca funcionou.'"
1521478504805715971,2022-05-03 13:15:17,98,False,0,6,"b'RT @BTGPactual: Brasil: Produ\xc3\xa7\xc3\xa3o industrial +0,3% m/m em mar\xc3\xa7o, ante expectativa de 0,2% e 0,7% anterior. Na compara\xc3\xa7\xc3\xa3o a/a, -2,1% vs -2,9%\xe2\x80\xa6'"
1521475562480582657,2022-05-03 13:03:36,310,False,0,6,"b'RT @BTGPactual: Brasil: Produ\xc3\xa7\xc3\xa3o industrial +0,3% m/m em mar\xc3\xa7o, ante expectativa de 0,2% e 0,7% anterior. Na compara\xc3\xa7\xc3\xa3o a/a, -2,1% vs -2,9%\xe2\x80\xa6'"
1521474753894264832,2022-05-03 13:00:23,6397,False,0,6,"b'RT @BTGPactual: Brasil: Produ\xc3\xa7\xc3\xa3o industrial +0,3% m/m em mar\xc3\xa7o, ante expectativa de 0,2% e 0,7% anterior. Na compara\xc3\xa7\xc3\xa3o a/a, -2,1% vs -2,9%\xe2\x80\xa6'"
1521474042187894784,2022-05-03 12:57:33,9524,False,0,6,"b'RT @BTGPactual: Brasil: Produ\xc3\xa7\xc3\xa3o industrial +0,3% m/m em mar\xc3\xa7o, ante expectativa de 0,2% e 0,7% anterior. Na compara\xc3\xa7\xc3\xa3o a/a, -2,1% vs -2,9%\xe2\x80\xa6'"
1521471533532823552,2022-05-03 12:47:35,1381,False,1,0,b'@RenataMaffezoli @BTGPactual Tem gente que norre e tem gente que lucra.'
1521469486553092097,2022-05-03 12:39:27,204,False,1,0,b'@rvilelaf @BTGPactual Isso apareceu para mim tbm faz uns meses. Haja paci\xc3\xaancia com esse capitalismo hip\xc3\xb3crita.'
1521459641800134656,2022-05-03 12:00:20,41,False,0,2,"b'RT @BTGPactual: Morning Call - 3/5\n\n\xe2\x80\xa2Zona do euro: taxa de desemprego cai para 6,8%\n\xe2\x80\xa2EUA divulga relat\xc3\xb3rio Jolts de vagas de trabalho\n\xe2\x80\xa2Bras\xe2\x80\xa6'"
1521457842896748545,2022-05-03 11:53:11,310,False,0,2,"b'RT @BTGPactual: Morning Call - 3/5\n\n\xe2\x80\xa2Zona do euro: taxa de desemprego cai para 6,8%\n\xe2\x80\xa2EUA divulga relat\xc3\xb3rio Jolts de vagas de trabalho\n\xe2\x80\xa2Bras\xe2\x80\xa6'"
1521455025721167874,2022-05-03 11:42:00,11,False,1,0,b'@BTGPactual h\xc3\xa1 mais de 10 dias aguardando contato do assessor Canal de zap que ningu\xc3\xa9m responde. Telefone que s\xc3\xb3 mandam aguardar e liga\xc3\xa7\xc3\xa3o cai. At\xc3\xa9 o SAC n\xc3\xa3o completa a liga\xc3\xa7\xc3\xa3o. \nQue atendimento terr\xc3\xadvel!!!'
1521449789107458048,2022-05-03 11:21:11,60,False,0,3,"b'RT @rvilelaf: Comecei o dia com o @BTGPactual me sugerindo investir em maconha. Ao mesmo tempo, lembro da mat\xc3\xa9ria que vi ontem: PMs invadin\xe2\x80\xa6'"
1521449116827623428,2022-05-03 11:18:31,31313,False,0,3,"b'RT @rvilelaf: Comecei o dia com o @BTGPactual me sugerindo investir em maconha. Ao mesmo tempo, lembro da mat\xc3\xa9ria que vi ontem: PMs invadin\xe2\x80\xa6'"
1521449094660694016,2022-05-03 11:18:25,1381,False,5,3,"b'Comecei o dia com o @BTGPactual me sugerindo investir em maconha. Ao mesmo tempo, lembro da mat\xc3\xa9ria que vi ontem: PMs invadindo casas na favela. At\xc3\xa9 quando a gente vai suportar essa dicotomia? https://t.co/VFWNET0Cwi'"
1521442265759113217,2022-05-03 10:51:17,92,False,0,0,b'@BlogdoNoblat Lidera \xc3\xa9?? S\xc3\xb3 vc e ele e os institutos pagos para fazer as pesquisas. S\xc3\xa3o do @BTGPactual e outras porcarias ligadas ao PT. A julgar pela quantidade de pessoas que estavam no com\xc3\xadcio dele no domingo...sei n\xc3\xa3o! Tem muita mentira a\xc3\xad ...'
1521399672744693761,2022-05-03 08:02:02,3,False,0,0,b'@Fa1ryNight @BTGPactual Vem tranquila...'
1521337740217958400,2022-05-03 03:55:57,113,False,0,0,b'@BTGPactual @UbisoftSupport @leo_bianchi tentei manito kkkkkkk No dia estava assistindo tua live no youtube e decidi criar a conta...Me mandaram uma chave que n\xc3\xa3o era valida e fiquei sem o jogo \xf0\x9f\xa4\xa1'
1521336949985918976,2022-05-03 03:52:48,113,False,0,0,"b'\xc3\x89 sobre isso.......Adeus chave de ativa\xc3\xa7\xc3\xa3o, vou ficar sem meu jogo por causa de uma chave que n\xc3\xa3o funcionou, obrigado @BTGPactual e @UbisoftSupport pelo descaso. https://t.co/aNz29SHfdU'"
1521321435066736643,2022-05-03 02:51:09,135,False,0,0,"b'@IsmaelGCardoso @MetodoMoreira Pois \xc3\xa9. Eu pensei em fechar minha conta no @Bancointer por ser petista, mas da\xc3\xad vi que o @nubank e o @BTGPactual tamb\xc3\xa9m s\xc3\xa3o. Lacradores e patrocinadores de eventos da esquerda. N\xc3\xa3o sobra banco nenhum. Todos safados adoradores de quem os xinga de elite e diz odiar a classe m\xc3\xa9dia.'"
1521267333410562052,2022-05-02 23:16:10,30,False,0,6,"b'RT @BTGPactual: RELAT\xc3\x93RIO FOCUS\n\nIPCA \n2022 sobe de 7,65% para 7,89%\n2023 avan\xc3\xa7a de 4,00% para 4,10%\n\nPIB\n2022 sobe de 0,65% para 0,70%\n202\xe2\x80\xa6'"
1521257021080809472,2022-05-02 22:35:12,16,False,0,0,"b'Nao foi resolvido o problema disseram que minha conta esta bloqueada me deram um numero de telefo que retorna ""vivo informa, esse telefone nao recebe camada do seu ddd"" @BTGPactual @cvmgovbr @invistanecton @BancoCentralBR'"
1521232642892607489,2022-05-02 20:58:19,6,False,0,9,"b'RT @BTGPactual: Indicadores de Mercado \xe2\x80\x93 ABRIL\n\n- CDI: +0,83% \n- Poupan\xc3\xa7a: +0,56% \n- Ouro: +2,4% \n- D\xc3\xb3lar Comercial: +3,85% \n- A\xc3\xa7\xc3\xb5es (Ibove\xe2\x80\xa6'"
1521230035113459715,2022-05-02 20:47:58,7,False,0,9,"b'RT @BTGPactual: Indicadores de Mercado \xe2\x80\x93 ABRIL\n\n- CDI: +0,83% \n- Poupan\xc3\xa7a: +0,56% \n- Ouro: +2,4% \n- D\xc3\xb3lar Comercial: +3,85% \n- A\xc3\xa7\xc3\xb5es (Ibove\xe2\x80\xa6'"
1521228674468659201,2022-05-02 20:42:33,310,False,0,2,"b'RT @BTGPactual: IBOV -1,15%, aos 106.639 pontos, longo da m\xc3\xadnima, de 105.218 pontos (-2,46%), com melhora em NY. S&amp;P 500 +0,6% e Nasdaq +1,\xe2\x80\xa6'"
1521227256407937029,2022-05-02 20:36:55,818,False,0,2,"b'RT @BTGPactual: IBOV -1,15%, aos 106.639 pontos, longo da m\xc3\xadnima, de 105.218 pontos (-2,46%), com melhora em NY. S&amp;P 500 +0,6% e Nasdaq +1,\xe2\x80\xa6'"
1521222408581038080,2022-05-02 20:17:39,105,False,1,0,b'@hugomineirim @MetodoMoreira @clear_corretora @genialinveste @BTGPactual Obrigado \xf0\x9f\xa4\x99'
1521218923705864192,2022-05-02 20:03:48,468,False,1,0,"b'@Lokonidas @MetodoMoreira @clear_corretora Como opero mais derivativos (opcoes), t\xc3\xb4 de olho na @genialinveste, logo depois @BTGPactual'"
1521212180120711170,2022-05-02 19:37:01,4,False,0,0,b'@BTGPactual Simples:\nN\xc3\xa3o atualiza posi\xc3\xa7\xc3\xa3o\nN\xc3\xa3o recebe ordem a\xc3\xad do nada aparece ordem duplicada\nN\xc3\xa3o sincroniza os pre\xc3\xa7os.\nQuer mais???? \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1521203603683348484,2022-05-02 19:02:56,73,False,1,0,"b'@BTGPactual Foi sim, @BTGPactual. Ficou fora do ar por ""apenas"" 4 horas.'"
1521203351119085569,2022-05-02 19:01:56,602,False,0,0,"b'@luciana63749139 @BTGPactual Odeio HB, usa o Profit, Lekah. HB \xc3\xa9 lixo.'"
1521197143582728192,2022-05-02 18:37:16,4,False,0,0,b'O @BTGPactual \xc3\xa9 a NOVA CLEAR. Sobe um pouquinho a volatilidade e a plataforma buga. Impressionante'
1521178128881700864,2022-05-02 17:21:42,41,False,0,9,"b'RT @BTGPactual: Indicadores de Mercado \xe2\x80\x93 ABRIL\n\n- CDI: +0,83% \n- Poupan\xc3\xa7a: +0,56% \n- Ouro: +2,4% \n- D\xc3\xb3lar Comercial: +3,85% \n- A\xc3\xa7\xc3\xb5es (Ibove\xe2\x80\xa6'"
1521173643522420743,2022-05-02 17:03:53,64,False,0,9,"b'RT @BTGPactual: Indicadores de Mercado \xe2\x80\x93 ABRIL\n\n- CDI: +0,83% \n- Poupan\xc3\xa7a: +0,56% \n- Ouro: +2,4% \n- D\xc3\xb3lar Comercial: +3,85% \n- A\xc3\xa7\xc3\xb5es (Ibove\xe2\x80\xa6'"
1521171867968675840,2022-05-02 16:56:49,29,False,0,0,b'Como pode o @BTGPactual n\xc3\xa3o dar um descontinho na bodytech? Ali\xc3\xa1s quem paga isso tudo na bt?'
1521166818802651136,2022-05-02 16:36:46,4,False,0,0,b'Mais de 2:00 para tentar falar na mesa de negocia\xc3\xa7\xc3\xa3o do @BTGPactual \xc3\xa9 mole? E mesmo assim n\xc3\xa3o consegui falar!!! https://t.co/7yYWoAoPUT'
1521165634951913472,2022-05-02 16:32:03,23,False,0,9,"b'RT @BTGPactual: Indicadores de Mercado \xe2\x80\x93 ABRIL\n\n- CDI: +0,83% \n- Poupan\xc3\xa7a: +0,56% \n- Ouro: +2,4% \n- D\xc3\xb3lar Comercial: +3,85% \n- A\xc3\xa7\xc3\xb5es (Ibove\xe2\x80\xa6'"
